unit,coico,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
CLV05_MNAC,C083,MT	275.5 	254.9 	216.1 	195.7 	176.2 	162.1 	141.9 	126.1 	128.6 	129.1 	116.3 	114.7 	130.4 	145.9 	142.2 	138.3 	142.1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,NL	0 	9200.6 	9112.2 	8880.2 	8858.1 	9032.7 	9255.8 	9688.9 	10273.3 	10452.3 	10281.1 	10038.0 	9659.1 	9674.5 	9406.1 	8565.3 	7069.5 	5734.9 	4222.5 	3222.6 	2717.8 	2470.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,NO	0 	0 	28742.0 	29105.0 	30470.0 	29919.0 	29760.0 	28691.0 	25640.0 	23897.0 	22881.0 	21532.0 	20512.0 	16789.0 	15320.0 	15045.0 	13302.0 	11613.0 	8362.0 	6719.0 	6348.0 	5497.0 	4493.0 	4191.0 	3361.0 	3641.0 	3103.0 	3502.0 	3220.0 	2556.0 	2600.0 	2191.0 	1977.0 	1805.0 	1576.0 	1508.0 	1372.0 	1345.0 	1201.0 	1118.0 	1074.0 	978.0 
CLV05_MNAC,C083,L	0 	25978.6 	26864.0 	27089.5 	25173.4 	26590.9 	25797.7 	24265.1 	23233.7 	21239.2 	20431.0 	20064.2 	18303.6 	17254.4 	16354.9 	15081.4 	13339.6 	12328.1 	8810.0 	5977.3 	5455.7 	5060.9 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,T	0 	3193.0 	3097.3 	3351.3 	3633.2 	3761.1 	3672.3 	3531.5 	3566.0 	3383.3 	3266.5 	3152.6 	3094.3 	2882.7 	2800.1 	2579.0 	2063.5 	1804.0 	1630.3 	1493.6 	1359.3 	1320.7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,RO	0 	14620.4 	13378.0 	12850.5 	12667.8 	11239.9 	14458.3 	6386.4 	4181.6 	4058.6 	3236.2 	2946.5 	2787.6 	3380.6 	2984.5 	2637.8 	2412.1 	2089.2 	2036.3 	3036.9 	2814.6 	2681.4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,RS	0 	81644.1 	79446.5 	78246.3 	75532.4 	75769.4 	71215.7 	69716.7 	68231.4 	60300.5 	46726.4 	40100.0 	36087.6 	30047.9 	24311.1 	21519.8 	21778.9 	15511.6 	17752.9 	17152.1 	15772.0 	15034.5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,SE	0 	61103.0 	58216.4 	56161.2 	55229.3 	56913.7 	55925.5 	51841.5 	48288.6 	46390.1 	42980.7 	40520.0 	38614.3 	35743.3 	32762.2 	29351.6 	24655.1 	21632.1 	19946.6 	17322.0 	15311.0 	13562.1 	12168.4 	11418.4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,SI	0 	617.5 	647.6 	651.1 	641.0 	642.5 	639.5 	651.4 	587.8 	555.2 	537.9 	531.9 	463.2 	402.5 	372.4 	298.6 	270.0 	252.2 	214.3 	193.7 	186.2 	174.9 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,SK	0 	1230.2 	1207.4 	1198.6 	1244.1 	1263.8 	1292.4 	1293.9 	1236.3 	1148.1 	1061.0 	930.5 	857.1 	791.8 	741.1 	813.1 	740.5 	682.2 	582.4 	619.2 	565.2 	517.7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
